"","subject","session","score"
"1",1,1,19
"2",1,2,21
"3",1,3,22
"4",1,4,25
"5",1,5,24
"6",1,6,26
"7",1,7,28
"8",1,8,25
"9",1,9,29
"10",1,10,31
"11",1,11,31
"12",1,12,32
"13",1,13,33
"14",1,14,35
"15",2,1,17
"16",2,2,19
"17",2,3,17
"18",2,4,18
"19",2,5,20
"20",2,6,23
"21",2,7,24
"22",2,8,23
"23",2,9,24
"24",2,10,25
"25",2,11,27
"26",2,12,30
"27",2,13,31
"28",2,14,33
"29",2,15,32
"30",2,16,30
"31",2,17,34
"32",2,18,34
"33",3,1,18
"34",3,2,20
"35",3,3,20
"36",3,4,22
"37",3,5,22
"38",3,6,22
"39",3,7,26
"40",3,8,25
"41",3,9,27
"42",3,10,26
"43",3,11,27
"44",3,12,29
"45",4,1,16
"46",4,2,19
"47",4,3,19
"48",4,4,19
"49",4,5,20
"50",4,6,23
"51",4,7,23
"52",4,8,25
"53",4,9,26
"54",5,1,4
"55",5,2,5
"56",5,3,7
"57",5,4,7
"58",5,5,9
"59",5,6,10
"60",5,7,10
"61",5,8,10
"62",5,9,14
"63",5,10,13
"64",5,11,16
"65",5,12,15
"66",5,13,15
"67",6,1,20
"68",6,2,19
"69",6,3,23
"70",6,4,23
"71",6,5,23
"72",6,6,25
"73",6,7,25
"74",6,8,25
"75",6,9,27
"76",6,10,29
"77",6,11,30
"78",6,12,30
"79",6,13,32
"80",6,14,31
"81",6,15,35
"82",6,16,33
"83",7,1,10
"84",7,2,12
"85",7,3,15
"86",7,4,14
"87",7,5,16
"88",7,6,16
"89",7,7,16
"90",7,8,19
"91",7,9,20
"92",7,10,20
"93",7,11,20
"94",7,12,23
"95",8,1,15
"96",8,2,15
"97",8,3,19
"98",8,4,18
"99",8,5,19
"100",8,6,20
"101",8,7,23
"102",8,8,23
"103",8,9,24
"104",8,10,25
"105",8,11,27
"106",8,12,27
"107",8,13,27
"108",8,14,26
"109",8,15,29
"110",9,1,12
"111",9,2,13
"112",9,3,12
"113",9,4,15
"114",9,5,16
"115",9,6,16
"116",9,7,18
"117",9,8,19
"118",9,9,19
"119",9,10,21
"120",9,11,22
"121",9,12,22
"122",9,13,23
"123",10,1,12
"124",10,2,14
"125",10,3,14
"126",10,4,15
"127",10,5,15
"128",10,6,17
"129",10,7,16
"130",10,8,18
"131",10,9,19
"132",10,10,22
"133",10,11,22
"134",11,1,13
"135",11,2,13
"136",11,3,15
"137",11,4,15
"138",11,5,17
"139",11,6,16
"140",11,7,19
"141",11,8,19
"142",11,9,19
"143",12,1,17
"144",12,2,19
"145",12,3,18
"146",12,4,20
"147",12,5,23
"148",12,6,23
"149",12,7,23
"150",12,8,25
"151",12,9,25
"152",13,1,18
"153",13,2,17
"154",13,3,18
"155",13,4,21
"156",13,5,23
"157",13,6,22
"158",13,7,22
"159",13,8,24
"160",13,9,24
"161",13,10,26
"162",13,11,28
"163",14,1,20
"164",14,2,22
"165",14,3,22
"166",14,4,25
"167",14,5,25
"168",14,6,29
"169",14,7,27
"170",14,8,28
"171",14,9,28
"172",14,10,31
"173",14,11,31
"174",15,1,12
"175",15,2,11
"176",15,3,13
"177",15,4,15
"178",15,5,14
"179",15,6,17
"180",15,7,17
"181",15,8,19
"182",15,9,18
"183",15,10,21
"184",16,1,15
"185",16,2,18
"186",16,3,17
"187",16,4,17
"188",16,5,18
"189",16,6,17
"190",16,7,21
"191",16,8,21
"192",16,9,23
"193",16,10,23
"194",16,11,26
"195",16,12,25
"196",16,13,25
"197",17,1,12
"198",17,2,13
"199",17,3,16
"200",17,4,14
"201",17,5,16
"202",17,6,17
"203",17,7,18
"204",17,8,18
"205",17,9,19
"206",17,10,22
"207",18,1,11
"208",18,2,12
"209",18,3,13
"210",18,4,13
"211",18,5,15
"212",18,6,16
"213",18,7,18
"214",18,8,19
"215",18,9,20
"216",18,10,20
"217",18,11,21
"218",18,12,23
"219",19,1,17
"220",19,2,18
"221",19,3,20
"222",19,4,19
"223",19,5,21
"224",19,6,22
"225",19,7,23
"226",19,8,24
"227",19,9,24
"228",19,10,27
"229",20,1,9
"230",20,2,9
"231",20,3,8
"232",20,4,9
"233",20,5,12
"234",20,6,12
"235",20,7,13
"236",20,8,14
"237",20,9,15
"238",20,10,16
"239",20,11,16
"240",20,12,17
"241",21,1,13
"242",21,2,16
"243",21,3,18
"244",21,4,18
"245",21,5,19
"246",21,6,21
"247",21,7,22
"248",21,8,24
"249",21,9,24
"250",21,10,24
"251",21,11,26
"252",21,12,26
"253",22,1,16
"254",22,2,20
"255",22,3,20
"256",22,4,21
"257",22,5,21
"258",22,6,23
"259",22,7,25
"260",22,8,24
"261",22,9,25
"262",22,10,28
"263",23,1,16
"264",23,2,16
"265",23,3,16
"266",23,4,18
"267",23,5,15
"268",23,6,18
"269",23,7,21
"270",23,8,20
"271",23,9,22
"272",23,10,23
"273",23,11,21
"274",23,12,24
"275",23,13,24
"276",23,14,27
"277",23,15,26
