"","subject","session","score"
"1",1,1,17
"2",1,2,16
"3",1,3,18
"4",1,4,19
"5",1,5,21
"6",1,6,23
"7",1,7,23
"8",1,8,21
"9",1,9,25
"10",1,10,26
"11",1,11,27
"12",1,12,29
"13",1,13,29
"14",1,14,30
"15",2,1,20
"16",2,2,19
"17",2,3,23
"18",2,4,19
"19",2,5,23
"20",2,6,24
"21",2,7,24
"22",2,8,28
"23",2,9,29
"24",3,1,14
"25",3,2,16
"26",3,3,17
"27",3,4,17
"28",3,5,19
"29",3,6,21
"30",3,7,21
"31",3,8,21
"32",3,9,24
"33",3,10,24
"34",3,11,25
"35",3,12,25
"36",3,13,26
"37",3,14,29
"38",4,1,14
"39",4,2,15
"40",4,3,15
"41",4,4,16
"42",4,5,17
"43",4,6,17
"44",4,7,19
"45",4,8,20
"46",4,9,22
"47",4,10,23
"48",4,11,22
"49",5,1,14
"50",5,2,14
"51",5,3,13
"52",5,4,16
"53",5,5,17
"54",5,6,18
"55",5,7,18
"56",5,8,19
"57",5,9,23
"58",5,10,21
"59",5,11,22
"60",5,12,24
"61",5,13,24
"62",5,14,25
"63",6,1,14
"64",6,2,14
"65",6,3,14
"66",6,4,16
"67",6,5,17
"68",6,6,18
"69",6,7,19
"70",6,8,20
"71",6,9,20
"72",6,10,21
"73",6,11,23
"74",6,12,23
"75",7,1,17
"76",7,2,15
"77",7,3,20
"78",7,4,19
"79",7,5,20
"80",7,6,22
"81",7,7,23
"82",7,8,25
"83",7,9,23
"84",7,10,27
"85",7,11,28
"86",7,12,28
"87",7,13,30
"88",7,14,29
"89",7,15,29
"90",7,16,31
"91",7,17,32
"92",8,1,10
"93",8,2,11
"94",8,3,11
"95",8,4,13
"96",8,5,14
"97",8,6,15
"98",8,7,16
"99",8,8,17
"100",8,9,17
"101",8,10,20
"102",8,11,20
"103",8,12,22
"104",8,13,24
"105",8,14,23
"106",8,15,24
"107",8,16,23
"108",9,1,17
"109",9,2,18
"110",9,3,20
"111",9,4,19
"112",9,5,20
"113",9,6,22
"114",9,7,25
"115",9,8,27
"116",9,9,24
"117",9,10,27
"118",9,11,26
"119",9,12,27
"120",9,13,29
"121",9,14,29
"122",9,15,32
"123",9,16,31
"124",10,1,22
"125",10,2,22
"126",10,3,23
"127",10,4,24
"128",10,5,24
"129",10,6,25
"130",10,7,27
"131",10,8,28
"132",10,9,30
"133",10,10,27
"134",10,11,32
"135",10,12,32
"136",11,1,14
"137",11,2,13
"138",11,3,14
"139",11,4,17
"140",11,5,16
"141",11,6,19
"142",11,7,19
"143",12,1,15
"144",12,2,15
"145",12,3,16
"146",12,4,18
"147",12,5,17
"148",12,6,17
"149",12,7,21
"150",12,8,21
"151",12,9,20
"152",12,10,22
"153",12,11,23
"154",12,12,25
"155",13,1,17
"156",13,2,17
"157",13,3,18
"158",13,4,22
"159",13,5,19
"160",13,6,22
"161",13,7,24
"162",13,8,24
"163",13,9,26
"164",13,10,27
"165",13,11,27
"166",13,12,29
"167",13,13,29
"168",13,14,30
"169",13,15,30
"170",14,1,11
"171",14,2,13
"172",14,3,14
"173",14,4,15
"174",14,5,16
"175",14,6,17
"176",14,7,19
"177",14,8,20
"178",14,9,20
"179",14,10,23
"180",14,11,23
"181",15,1,17
"182",15,2,15
"183",15,3,17
"184",15,4,21
"185",15,5,19
"186",15,6,20
"187",15,7,21
"188",15,8,23
"189",15,9,24
"190",15,10,25
"191",15,11,27
"192",15,12,28
"193",15,13,27
"194",15,14,29
"195",16,1,6
"196",16,2,7
"197",16,3,9
"198",16,4,9
"199",16,5,9
"200",16,6,10
"201",16,7,11
"202",16,8,14
"203",16,9,15
"204",16,10,17
"205",16,11,17
"206",17,1,7
"207",17,2,11
"208",17,3,10
"209",17,4,12
"210",17,5,15
"211",17,6,14
"212",17,7,14
"213",17,8,16
"214",17,9,18
"215",17,10,18
"216",17,11,18
"217",17,12,22
"218",17,13,20
"219",17,14,23
"220",17,15,23
"221",17,16,24
"222",18,1,12
"223",18,2,13
"224",18,3,15
"225",18,4,14
"226",18,5,17
"227",18,6,16
"228",18,7,18
"229",18,8,18
"230",18,9,22
"231",18,10,21
"232",18,11,23
"233",18,12,23
"234",18,13,25
"235",18,14,27
"236",19,1,5
"237",19,2,7
"238",19,3,6
"239",19,4,7
"240",19,5,7
"241",19,6,9
"242",19,7,11
"243",19,8,11
"244",19,9,12
"245",19,10,16
"246",19,11,15
"247",20,1,9
"248",20,2,10
"249",20,3,10
"250",20,4,11
"251",20,5,12
"252",20,6,13
"253",20,7,13
"254",20,8,15
"255",20,9,14
"256",20,10,18
"257",20,11,17
"258",20,12,19
"259",20,13,20
"260",21,1,16
"261",21,2,16
"262",21,3,16
"263",21,4,18
"264",21,5,20
"265",21,6,20
"266",21,7,21
"267",21,8,21
"268",21,9,24
"269",21,10,25
"270",21,11,26
"271",22,1,14
"272",22,2,14
"273",22,3,17
"274",22,4,16
"275",22,5,18
"276",22,6,18
"277",22,7,19
"278",22,8,20
"279",22,9,21
"280",22,10,24
"281",22,11,24
"282",23,1,20
"283",23,2,23
"284",23,3,21
"285",23,4,22
"286",23,5,26
"287",23,6,25
"288",23,7,28
"289",23,8,27
"290",23,9,27
"291",23,10,29
"292",23,11,31
"293",23,12,30
