"","subject","session","score"
"1",1,1,13
"2",1,2,13
"3",1,3,16
"4",1,4,18
"5",1,5,17
"6",1,6,19
"7",1,7,22
"8",1,8,21
"9",1,9,21
"10",1,10,24
"11",1,11,23
"12",1,12,24
"13",1,13,26
"14",2,1,3
"15",2,2,4
"16",2,3,5
"17",2,4,5
"18",2,5,8
"19",2,6,8
"20",2,7,9
"21",2,8,8
"22",2,9,11
"23",2,10,12
"24",3,1,14
"25",3,2,14
"26",3,3,17
"27",3,4,16
"28",3,5,16
"29",3,6,19
"30",3,7,19
"31",3,8,20
"32",4,1,12
"33",4,2,13
"34",4,3,12
"35",4,4,17
"36",4,5,16
"37",4,6,16
"38",4,7,18
"39",4,8,20
"40",4,9,18
"41",4,10,19
"42",4,11,21
"43",5,1,17
"44",5,2,17
"45",5,3,17
"46",5,4,19
"47",5,5,20
"48",5,6,21
"49",5,7,23
"50",5,8,25
"51",6,1,22
"52",6,2,24
"53",6,3,23
"54",6,4,25
"55",6,5,26
"56",6,6,27
"57",6,7,26
"58",6,8,28
"59",6,9,29
"60",6,10,28
"61",6,11,30
"62",6,12,32
"63",6,13,33
"64",6,14,33
"65",7,1,14
"66",7,2,13
"67",7,3,15
"68",7,4,16
"69",7,5,18
"70",7,6,18
"71",7,7,21
"72",7,8,22
"73",7,9,21
"74",7,10,23
"75",7,11,25
"76",7,12,25
"77",7,13,27
"78",7,14,25
"79",7,15,30
"80",7,16,28
"81",7,17,29
"82",8,1,21
"83",8,2,22
"84",8,3,22
"85",8,4,25
"86",8,5,26
"87",8,6,25
"88",8,7,27
"89",8,8,28
"90",8,9,27
"91",8,10,29
"92",8,11,31
"93",9,1,10
"94",9,2,13
"95",9,3,12
"96",9,4,14
"97",9,5,14
"98",9,6,17
"99",9,7,16
"100",9,8,18
"101",9,9,21
"102",9,10,21
"103",9,11,21
"104",9,12,21
"105",10,1,12
"106",10,2,14
"107",10,3,13
"108",10,4,16
"109",10,5,16
"110",10,6,16
"111",11,1,5
"112",11,2,6
"113",11,3,6
"114",11,4,8
"115",11,5,7
"116",11,6,9
"117",11,7,10
"118",11,8,10
"119",11,9,12
"120",11,10,12
"121",11,11,14
"122",12,1,11
"123",12,2,11
"124",12,3,16
"125",12,4,15
"126",12,5,14
"127",12,6,15
"128",12,7,16
"129",12,8,17
"130",12,9,21
"131",12,10,23
"132",12,11,23
"133",12,12,23
"134",12,13,24
"135",13,1,12
"136",13,2,9
"137",13,3,13
"138",13,4,14
"139",13,5,15
"140",13,6,16
"141",13,7,17
"142",13,8,17
"143",13,9,17
"144",13,10,18
"145",13,11,21
"146",13,12,20
"147",14,1,16
"148",14,2,16
"149",14,3,15
"150",14,4,18
"151",14,5,18
"152",14,6,22
"153",14,7,19
"154",14,8,21
"155",14,9,21
"156",14,10,24
"157",14,11,25
"158",14,12,27
"159",14,13,26
"160",14,14,28
"161",14,15,27
"162",14,16,28
"163",15,1,12
"164",15,2,15
"165",15,3,16
"166",15,4,16
"167",15,5,18
"168",15,6,18
"169",15,7,20
"170",15,8,19
"171",15,9,20
"172",15,10,22
"173",15,11,22
"174",15,12,21
"175",15,13,24
"176",15,14,27
"177",16,1,24
"178",16,2,23
"179",16,3,26
"180",16,4,26
"181",16,5,27
"182",16,6,28
"183",16,7,30
"184",16,8,30
"185",16,9,31
"186",16,10,33
"187",16,11,33
"188",16,12,36
"189",16,13,36
"190",16,14,34
"191",16,15,37
"192",17,1,12
"193",17,2,15
"194",17,3,14
"195",17,4,18
"196",17,5,18
"197",17,6,18
"198",17,7,18
"199",17,8,20
"200",17,9,22
"201",17,10,24
"202",17,11,24
"203",17,12,25
"204",17,13,26
"205",18,1,10
"206",18,2,13
"207",18,3,12
"208",18,4,12
"209",18,5,14
"210",18,6,15
"211",18,7,16
"212",18,8,17
"213",18,9,19
"214",18,10,19
"215",18,11,20
"216",18,12,21
"217",18,13,21
"218",18,14,24
"219",18,15,24
"220",19,1,13
"221",19,2,11
"222",19,3,13
"223",19,4,16
"224",19,5,17
"225",19,6,17
"226",19,7,20
"227",19,8,19
"228",19,9,20
"229",19,10,21
"230",19,11,21
"231",20,1,24
"232",20,2,27
"233",20,3,26
"234",20,4,27
"235",20,5,30
"236",20,6,29
"237",20,7,31
"238",20,8,33
"239",20,9,33
"240",20,10,34
"241",20,11,34
"242",20,12,36
"243",20,13,38
"244",21,1,11
"245",21,2,13
"246",21,3,14
"247",21,4,15
"248",21,5,17
"249",21,6,15
"250",21,7,18
"251",21,8,19
"252",21,9,18
"253",21,10,20
"254",21,11,21
"255",21,12,23
"256",21,13,24
"257",21,14,24
"258",22,1,13
"259",22,2,14
"260",22,3,16
"261",22,4,14
"262",22,5,17
"263",22,6,20
"264",22,7,19
"265",22,8,20
"266",22,9,20
"267",22,10,21
"268",22,11,24
"269",22,12,24
"270",22,13,26
"271",22,14,26
"272",23,1,18
"273",23,2,17
"274",23,3,21
"275",23,4,21
"276",23,5,20
"277",23,6,22
"278",23,7,22
