"","subject","session","score"
"1",1,1,16
"2",1,2,16
"3",1,3,17
"4",1,4,20
"5",1,5,19
"6",1,6,22
"7",1,7,23
"8",1,8,23
"9",1,9,25
"10",1,10,25
"11",1,11,24
"12",2,1,9
"13",2,2,12
"14",2,3,13
"15",2,4,13
"16",2,5,13
"17",2,6,16
"18",2,7,18
"19",2,8,17
"20",2,9,19
"21",2,10,21
"22",2,11,20
"23",2,12,21
"24",2,13,23
"25",2,14,23
"26",3,1,13
"27",3,2,15
"28",3,3,16
"29",3,4,17
"30",3,5,18
"31",3,6,16
"32",3,7,19
"33",3,8,20
"34",3,9,20
"35",3,10,22
"36",3,11,23
"37",3,12,24
"38",3,13,25
"39",3,14,27
"40",3,15,28
"41",3,16,28
"42",3,17,30
"43",3,18,30
"44",4,1,11
"45",4,2,12
"46",4,3,12
"47",4,4,13
"48",4,5,16
"49",4,6,17
"50",4,7,17
"51",4,8,19
"52",4,9,21
"53",4,10,19
"54",4,11,21
"55",4,12,22
"56",4,13,22
"57",4,14,24
"58",4,15,23
"59",4,16,26
"60",5,1,21
"61",5,2,23
"62",5,3,24
"63",5,4,23
"64",5,5,27
"65",5,6,28
"66",5,7,31
"67",5,8,31
"68",5,9,29
"69",5,10,31
"70",5,11,33
"71",5,12,33
"72",5,13,34
"73",6,1,14
"74",6,2,14
"75",6,3,16
"76",6,4,17
"77",6,5,20
"78",6,6,19
"79",6,7,21
"80",6,8,20
"81",6,9,22
"82",6,10,21
"83",6,11,24
"84",6,12,24
"85",6,13,27
"86",7,1,17
"87",7,2,19
"88",7,3,20
"89",7,4,20
"90",7,5,21
"91",7,6,23
"92",8,1,6
"93",8,2,7
"94",8,3,9
"95",8,4,11
"96",8,5,11
"97",8,6,12
"98",8,7,11
"99",8,8,13
"100",8,9,13
"101",8,10,16
"102",8,11,15
"103",8,12,18
"104",8,13,20
"105",9,1,15
"106",9,2,16
"107",9,3,18
"108",9,4,18
"109",9,5,20
"110",9,6,22
"111",9,7,23
"112",9,8,23
"113",9,9,25
"114",9,10,27
"115",9,11,26
"116",9,12,26
"117",9,13,29
"118",9,14,28
"119",9,15,30
"120",9,16,30
"121",10,1,12
"122",10,2,12
"123",10,3,13
"124",10,4,16
"125",10,5,16
"126",10,6,16
"127",10,7,20
"128",10,8,18
"129",10,9,18
"130",10,10,20
"131",10,11,22
"132",10,12,22
"133",10,13,22
"134",10,14,25
"135",10,15,26
"136",11,1,10
"137",11,2,12
"138",11,3,14
"139",11,4,13
"140",11,5,15
"141",11,6,19
"142",11,7,18
"143",11,8,20
"144",11,9,20
"145",11,10,20
"146",11,11,23
"147",11,12,23
"148",12,1,17
"149",12,2,18
"150",12,3,19
"151",12,4,22
"152",12,5,22
"153",12,6,21
"154",12,7,24
"155",12,8,25
"156",12,9,25
"157",12,10,27
"158",12,11,27
"159",12,12,28
"160",12,13,32
"161",13,1,17
"162",13,2,22
"163",13,3,23
"164",13,4,23
"165",13,5,25
"166",13,6,26
"167",13,7,26
"168",13,8,28
"169",13,9,27
"170",13,10,29
"171",13,11,29
"172",13,12,31
"173",13,13,32
"174",14,1,27
"175",14,2,27
"176",14,3,28
"177",14,4,29
"178",14,5,31
"179",14,6,29
"180",14,7,34
"181",14,8,34
"182",14,9,34
"183",14,10,34
"184",15,1,16
"185",15,2,15
"186",15,3,17
"187",15,4,19
"188",15,5,18
"189",15,6,18
"190",15,7,21
"191",15,8,20
"192",15,9,24
"193",15,10,26
"194",15,11,25
"195",16,1,5
"196",16,2,8
"197",16,3,6
"198",16,4,9
"199",16,5,10
"200",16,6,11
"201",17,1,25
"202",17,2,24
"203",17,3,27
"204",17,4,27
"205",17,5,27
"206",17,6,29
"207",17,7,31
"208",17,8,31
"209",17,9,30
"210",17,10,34
"211",17,11,34
"212",17,12,35
"213",17,13,36
"214",17,14,37
"215",18,1,17
"216",18,2,19
"217",18,3,23
"218",18,4,22
"219",18,5,22
"220",18,6,22
"221",18,7,24
"222",18,8,27
"223",18,9,25
"224",19,1,15
"225",19,2,15
"226",19,3,16
"227",19,4,18
"228",19,5,19
"229",19,6,19
"230",19,7,23
"231",19,8,23
"232",19,9,25
"233",19,10,23
"234",19,11,23
"235",19,12,27
"236",19,13,25
"237",19,14,29
"238",19,15,29
"239",20,1,7
"240",20,2,7
"241",20,3,8
"242",20,4,9
"243",20,5,11
"244",20,6,12
"245",20,7,12
"246",20,8,14
"247",20,9,15
"248",20,10,17
"249",20,11,16
"250",20,12,16
"251",20,13,17
"252",20,14,19
"253",21,1,14
"254",21,2,16
"255",21,3,17
"256",21,4,17
"257",21,5,18
"258",21,6,21
"259",21,7,21
"260",21,8,23
"261",21,9,22
"262",21,10,24
"263",21,11,24
"264",21,12,27
"265",21,13,24
"266",21,14,27
