"","subject","session","score"
"1",1,1,11
"2",1,2,13
"3",1,3,14
"4",1,4,16
"5",1,5,18
"6",1,6,18
"7",1,7,20
"8",1,8,20
"9",1,9,22
"10",1,10,23
"11",1,11,20
"12",2,1,17
"13",2,2,21
"14",2,3,22
"15",2,4,20
"16",2,5,23
"17",2,6,22
"18",2,7,24
"19",2,8,27
"20",2,9,27
"21",2,10,27
"22",2,11,29
"23",2,12,30
"24",2,13,31
"25",2,14,32
"26",3,1,9
"27",3,2,9
"28",3,3,10
"29",3,4,12
"30",3,5,14
"31",3,6,13
"32",3,7,16
"33",3,8,16
"34",3,9,17
"35",3,10,16
"36",3,11,19
"37",3,12,21
"38",4,1,14
"39",4,2,15
"40",4,3,15
"41",4,4,19
"42",4,5,19
"43",4,6,20
"44",4,7,20
"45",4,8,21
"46",4,9,23
"47",4,10,23
"48",4,11,24
"49",4,12,25
"50",4,13,25
"51",5,1,16
"52",5,2,18
"53",5,3,18
"54",5,4,17
"55",5,5,19
"56",5,6,21
"57",5,7,22
"58",5,8,19
"59",5,9,23
"60",5,10,24
"61",5,11,25
"62",5,12,26
"63",6,1,12
"64",6,2,12
"65",6,3,12
"66",6,4,14
"67",6,5,17
"68",6,6,16
"69",6,7,18
"70",6,8,17
"71",6,9,18
"72",6,10,19
"73",7,1,15
"74",7,2,15
"75",7,3,16
"76",7,4,17
"77",7,5,17
"78",7,6,20
"79",7,7,21
"80",7,8,22
"81",8,1,16
"82",8,2,16
"83",8,3,17
"84",8,4,14
"85",8,5,18
"86",8,6,20
"87",8,7,21
"88",8,8,23
"89",8,9,23
"90",8,10,24
"91",8,11,24
"92",8,12,27
"93",9,1,14
"94",9,2,13
"95",9,3,14
"96",9,4,17
"97",9,5,15
"98",9,6,19
"99",9,7,17
"100",9,8,19
"101",9,9,20
"102",9,10,23
"103",9,11,23
"104",10,1,16
"105",10,2,17
"106",10,3,19
"107",10,4,16
"108",10,5,20
"109",10,6,19
"110",10,7,21
"111",10,8,23
"112",10,9,24
"113",10,10,24
"114",10,11,24
"115",11,1,22
"116",11,2,24
"117",11,3,21
"118",11,4,25
"119",11,5,24
"120",11,6,26
"121",11,7,29
"122",11,8,28
"123",11,9,29
"124",11,10,31
"125",11,11,32
"126",11,12,32
"127",11,13,33
"128",11,14,34
"129",12,1,3
"130",12,2,3
"131",12,3,6
"132",12,4,6
"133",12,5,6
"134",12,6,8
"135",12,7,9
"136",12,8,10
"137",12,9,12
"138",12,10,11
"139",12,11,14
"140",12,12,15
"141",12,13,15
"142",13,1,14
"143",13,2,14
"144",13,3,16
"145",13,4,14
"146",13,5,16
"147",13,6,20
"148",13,7,20
"149",13,8,19
"150",13,9,21
"151",13,10,22
"152",14,1,14
"153",14,2,17
"154",14,3,17
"155",14,4,17
"156",14,5,19
"157",14,6,18
"158",14,7,20
"159",14,8,23
"160",14,9,21
"161",14,10,22
"162",14,11,24
"163",14,12,26
"164",14,13,25
"165",14,14,27
"166",14,15,29
"167",14,16,29
"168",15,1,6
"169",15,2,6
"170",15,3,9
"171",15,4,7
"172",15,5,7
"173",15,6,10
"174",15,7,10
"175",15,8,12
"176",15,9,14
"177",15,10,15
"178",15,11,14
"179",15,12,15
"180",15,13,16
"181",16,1,13
"182",16,2,13
"183",16,3,15
"184",16,4,16
"185",16,5,17
"186",16,6,17
"187",16,7,17
"188",16,8,17
"189",16,9,19
"190",16,10,20
"191",16,11,21
"192",17,1,12
"193",17,2,12
"194",17,3,13
"195",17,4,18
"196",17,5,15
"197",17,6,18
"198",17,7,19
"199",17,8,19
"200",17,9,21
"201",17,10,22
"202",17,11,21
"203",17,12,22
"204",17,13,24
"205",18,1,16
"206",18,2,17
"207",18,3,18
"208",18,4,19
"209",18,5,20
"210",18,6,20
"211",18,7,22
"212",18,8,25
"213",18,9,22
"214",18,10,25
"215",18,11,24
"216",18,12,28
"217",18,13,27
"218",18,14,28
"219",19,1,17
"220",19,2,17
"221",19,3,17
"222",19,4,22
"223",19,5,21
"224",19,6,22
"225",19,7,22
"226",19,8,21
"227",19,9,26
"228",19,10,27
"229",19,11,27
"230",19,12,28
"231",19,13,29
"232",20,1,13
"233",20,2,16
"234",20,3,17
"235",20,4,17
"236",20,5,18
"237",20,6,17
"238",20,7,18
"239",20,8,22
"240",20,9,23
"241",20,10,23
"242",20,11,25
"243",20,12,26
"244",20,13,24
"245",21,1,13
"246",21,2,14
"247",21,3,17
"248",21,4,18
"249",21,5,18
"250",21,6,19
"251",21,7,22
"252",21,8,21
"253",21,9,23
"254",21,10,24
"255",21,11,26
"256",21,12,25
"257",21,13,25
"258",21,14,28
"259",21,15,29
"260",22,1,11
"261",22,2,11
"262",22,3,16
"263",22,4,14
"264",22,5,17
"265",22,6,18
"266",22,7,19
"267",22,8,20
"268",22,9,18
"269",22,10,22
"270",22,11,22
"271",22,12,22
"272",23,1,11
"273",23,2,11
"274",23,3,13
"275",23,4,13
"276",23,5,13
"277",23,6,15
"278",23,7,14
"279",23,8,18
"280",23,9,19
"281",23,10,17
"282",23,11,22
