"","subject","session","score"
"1",1,1,14
"2",1,2,17
"3",1,3,18
"4",1,4,16
"5",1,5,19
"6",1,6,21
"7",1,7,21
"8",1,8,23
"9",1,9,23
"10",1,10,24
"11",1,11,25
"12",1,12,27
"13",1,13,28
"14",1,14,27
"15",2,1,9
"16",2,2,8
"17",2,3,10
"18",2,4,12
"19",2,5,13
"20",2,6,15
"21",2,7,15
"22",2,8,17
"23",2,9,17
"24",2,10,18
"25",2,11,18
"26",3,1,15
"27",3,2,18
"28",3,3,19
"29",3,4,19
"30",3,5,20
"31",3,6,21
"32",3,7,22
"33",3,8,21
"34",3,9,23
"35",3,10,24
"36",3,11,24
"37",3,12,27
"38",3,13,28
"39",3,14,28
"40",3,15,29
"41",4,1,12
"42",4,2,14
"43",4,3,13
"44",4,4,16
"45",4,5,15
"46",4,6,18
"47",4,7,18
"48",4,8,19
"49",4,9,21
"50",4,10,21
"51",4,11,22
"52",4,12,23
"53",4,13,23
"54",5,1,10
"55",5,2,13
"56",5,3,14
"57",5,4,15
"58",5,5,13
"59",5,6,16
"60",5,7,19
"61",5,8,16
"62",5,9,19
"63",5,10,19
"64",5,11,21
"65",5,12,21
"66",5,13,22
"67",5,14,24
"68",5,15,25
"69",6,1,16
"70",6,2,16
"71",6,3,17
"72",6,4,19
"73",6,5,19
"74",6,6,23
"75",6,7,21
"76",7,1,5
"77",7,2,6
"78",7,3,7
"79",7,4,9
"80",7,5,12
"81",7,6,11
"82",7,7,13
"83",7,8,12
"84",7,9,15
"85",8,1,16
"86",8,2,17
"87",8,3,16
"88",8,4,18
"89",8,5,17
"90",8,6,20
"91",8,7,22
"92",8,8,21
"93",8,9,21
"94",8,10,22
"95",8,11,24
"96",8,12,25
"97",8,13,27
"98",8,14,28
"99",8,15,29
"100",9,1,14
"101",9,2,16
"102",9,3,18
"103",9,4,17
"104",9,5,19
"105",9,6,20
"106",9,7,23
"107",9,8,22
"108",9,9,24
"109",9,10,26
"110",9,11,27
"111",9,12,25
"112",9,13,29
"113",9,14,28
"114",9,15,30
"115",9,16,30
"116",9,17,31
"117",10,1,20
"118",10,2,21
"119",10,3,24
"120",10,4,24
"121",10,5,24
"122",10,6,24
"123",10,7,24
"124",10,8,26
"125",10,9,28
"126",10,10,26
"127",10,11,29
"128",11,1,11
"129",11,2,11
"130",11,3,13
"131",11,4,14
"132",11,5,15
"133",11,6,16
"134",11,7,18
"135",11,8,18
"136",11,9,20
"137",11,10,21
"138",11,11,21
"139",11,12,24
"140",11,13,21
"141",11,14,25
"142",11,15,26
"143",11,16,25
"144",12,1,21
"145",12,2,21
"146",12,3,22
"147",12,4,23
"148",12,5,25
"149",12,6,25
"150",12,7,28
"151",12,8,28
"152",12,9,30
"153",12,10,28
"154",12,11,30
"155",12,12,30
"156",12,13,33
"157",13,1,16
"158",13,2,18
"159",13,3,19
"160",13,4,18
"161",13,5,20
"162",13,6,24
"163",13,7,22
"164",13,8,25
"165",13,9,25
"166",13,10,26
"167",13,11,27
"168",14,1,14
"169",14,2,13
"170",14,3,15
"171",14,4,15
"172",14,5,16
"173",14,6,18
"174",14,7,18
"175",14,8,20
"176",14,9,23
"177",14,10,22
"178",15,1,20
"179",15,2,20
"180",15,3,20
"181",15,4,21
"182",15,5,22
"183",15,6,24
"184",15,7,22
"185",15,8,26
"186",15,9,28
"187",16,1,11
"188",16,2,14
"189",16,3,15
"190",16,4,15
"191",16,5,16
"192",16,6,17
"193",16,7,18
"194",16,8,19
"195",16,9,20
"196",16,10,23
"197",16,11,23
"198",16,12,23
"199",16,13,25
"200",16,14,25
"201",17,1,12
"202",17,2,14
"203",17,3,15
"204",17,4,14
"205",17,5,17
"206",17,6,15
"207",17,7,16
"208",17,8,19
"209",17,9,19
"210",17,10,21
"211",17,11,22
"212",17,12,23
"213",17,13,24
"214",17,14,25
"215",17,15,25
"216",18,1,16
"217",18,2,17
"218",18,3,17
"219",18,4,19
"220",18,5,19
"221",18,6,20
"222",18,7,22
"223",18,8,23
"224",18,9,22
"225",19,1,6
"226",19,2,5
"227",19,3,8
"228",19,4,10
"229",19,5,11
"230",19,6,13
"231",19,7,12
"232",19,8,14
"233",19,9,13
"234",19,10,15
"235",19,11,17
"236",19,12,17
"237",19,13,19
"238",19,14,19
"239",19,15,21
"240",20,1,17
"241",20,2,16
"242",20,3,18
"243",20,4,19
"244",20,5,19
"245",20,6,21
"246",20,7,21
"247",20,8,22
"248",20,9,24
"249",20,10,22
"250",21,1,15
"251",21,2,14
"252",21,3,16
"253",21,4,18
"254",21,5,18
"255",21,6,20
"256",21,7,22
"257",21,8,21
"258",21,9,24
"259",21,10,23
"260",21,11,26
"261",21,12,27
"262",21,13,24
"263",22,1,15
"264",22,2,15
"265",22,3,16
"266",22,4,17
"267",22,5,20
"268",22,6,20
"269",22,7,20
"270",22,8,20
"271",22,9,21
"272",22,10,23
"273",22,11,25
"274",22,12,25
"275",23,1,21
"276",23,2,21
"277",23,3,22
"278",23,4,24
"279",23,5,25
"280",23,6,26
"281",23,7,27
"282",23,8,30
"283",23,9,28
"284",23,10,30
