"","subject","session","score"
"1",1,1,9
"2",1,2,11
"3",1,3,12
"4",1,4,13
"5",1,5,14
"6",1,6,13
"7",1,7,15
"8",1,8,17
"9",1,9,17
"10",1,10,18
"11",1,11,18
"12",1,12,22
"13",1,13,24
"14",2,1,11
"15",2,2,10
"16",2,3,13
"17",2,4,12
"18",2,5,13
"19",2,6,13
"20",2,7,16
"21",2,8,15
"22",2,9,19
"23",2,10,19
"24",2,11,19
"25",2,12,19
"26",2,13,21
"27",2,14,22
"28",3,1,9
"29",3,2,11
"30",3,3,13
"31",3,4,12
"32",3,5,13
"33",3,6,12
"34",3,7,12
"35",3,8,16
"36",3,9,18
"37",3,10,16
"38",3,11,21
"39",3,12,20
"40",3,13,20
"41",4,1,14
"42",4,2,15
"43",4,3,16
"44",4,4,16
"45",4,5,18
"46",4,6,16
"47",4,7,20
"48",4,8,19
"49",4,9,22
"50",4,10,22
"51",4,11,23
"52",4,12,24
"53",4,13,25
"54",4,14,25
"55",5,1,7
"56",5,2,9
"57",5,3,10
"58",5,4,9
"59",5,5,10
"60",5,6,11
"61",5,7,10
"62",5,8,13
"63",5,9,14
"64",5,10,18
"65",5,11,16
"66",6,1,16
"67",6,2,16
"68",6,3,20
"69",6,4,19
"70",6,5,21
"71",6,6,21
"72",6,7,20
"73",6,8,21
"74",6,9,25
"75",6,10,27
"76",7,1,20
"77",7,2,22
"78",7,3,20
"79",7,4,22
"80",7,5,23
"81",7,6,25
"82",7,7,25
"83",7,8,24
"84",7,9,28
"85",7,10,28
"86",8,1,24
"87",8,2,25
"88",8,3,27
"89",8,4,27
"90",8,5,26
"91",8,6,28
"92",8,7,30
"93",8,8,30
"94",8,9,31
"95",8,10,32
"96",8,11,35
"97",8,12,34
"98",8,13,35
"99",8,14,36
"100",8,15,36
"101",8,16,36
"102",9,1,12
"103",9,2,13
"104",9,3,14
"105",9,4,16
"106",9,5,17
"107",9,6,17
"108",9,7,19
"109",9,8,19
"110",9,9,21
"111",9,10,21
"112",9,11,21
"113",9,12,21
"114",9,13,24
"115",9,14,25
"116",9,15,27
"117",9,16,27
"118",9,17,28
"119",9,18,30
"120",10,1,13
"121",10,2,11
"122",10,3,12
"123",10,4,11
"124",10,5,15
"125",10,6,16
"126",10,7,19
"127",10,8,18
"128",10,9,19
"129",10,10,19
"130",10,11,21
"131",11,1,2
"132",11,2,6
"133",11,3,4
"134",11,4,9
"135",11,5,8
"136",11,6,7
"137",11,7,11
"138",11,8,9
"139",11,9,12
"140",11,10,12
"141",11,11,15
"142",11,12,15
"143",12,1,6
"144",12,2,9
"145",12,3,8
"146",12,4,11
"147",12,5,12
"148",12,6,11
"149",12,7,14
"150",12,8,14
"151",12,9,16
"152",12,10,18
"153",12,11,18
"154",12,12,18
"155",12,13,20
"156",12,14,19
"157",13,1,14
"158",13,2,14
"159",13,3,14
"160",13,4,15
"161",13,5,18
"162",13,6,18
"163",13,7,19
"164",13,8,21
"165",13,9,20
"166",13,10,22
"167",13,11,24
"168",13,12,25
"169",13,13,25
"170",13,14,27
"171",13,15,27
"172",14,1,11
"173",14,2,12
"174",14,3,13
"175",14,4,15
"176",14,5,14
"177",14,6,17
"178",14,7,16
"179",14,8,20
"180",14,9,20
"181",14,10,21
"182",14,11,22
"183",14,12,23
"184",14,13,23
"185",14,14,25
"186",15,1,18
"187",15,2,19
"188",15,3,21
"189",15,4,22
"190",15,5,23
"191",15,6,24
"192",15,7,26
"193",15,8,27
"194",15,9,28
"195",15,10,28
"196",15,11,28
"197",16,1,14
"198",16,2,15
"199",16,3,15
"200",16,4,17
"201",16,5,18
"202",16,6,19
"203",16,7,21
"204",16,8,22
"205",16,9,21
"206",16,10,24
"207",16,11,22
"208",16,12,25
"209",16,13,27
"210",16,14,27
"211",17,1,21
"212",17,2,23
"213",17,3,24
"214",17,4,24
"215",17,5,25
"216",17,6,26
"217",17,7,28
"218",17,8,30
"219",17,9,29
"220",17,10,31
"221",17,11,32
"222",17,12,33
"223",17,13,34
"224",18,1,19
"225",18,2,20
"226",18,3,22
"227",18,4,24
"228",18,5,24
"229",18,6,25
"230",18,7,27
"231",18,8,26
"232",18,9,28
"233",19,1,18
"234",19,2,20
"235",19,3,19
"236",19,4,22
"237",19,5,21
"238",19,6,23
"239",19,7,26
"240",19,8,27
"241",19,9,25
"242",19,10,29
"243",20,1,18
"244",20,2,21
"245",20,3,22
"246",20,4,24
"247",20,5,25
"248",20,6,27
"249",20,7,24
"250",20,8,28
"251",20,9,28
"252",20,10,28
"253",20,11,32
"254",21,1,11
"255",21,2,12
"256",21,3,15
"257",21,4,15
"258",21,5,16
"259",21,6,17
"260",21,7,18
"261",21,8,19
"262",21,9,20
"263",21,10,21
"264",21,11,22
"265",21,12,22
"266",21,13,24
"267",22,1,18
"268",22,2,20
"269",22,3,20
"270",22,4,22
"271",22,5,22
"272",22,6,21
"273",22,7,25
"274",22,8,25
"275",22,9,26
"276",22,10,27
"277",22,11,28
"278",22,12,30
"279",22,13,31
