"","subject","session","score"
"1",1,1,15
"2",1,2,15
"3",1,3,18
"4",1,4,17
"5",1,5,21
"6",1,6,22
"7",1,7,22
"8",1,8,20
"9",1,9,23
"10",1,10,23
"11",1,11,24
"12",1,12,27
"13",2,1,11
"14",2,2,13
"15",2,3,11
"16",2,4,14
"17",2,5,15
"18",2,6,16
"19",2,7,18
"20",2,8,16
"21",2,9,19
"22",2,10,18
"23",3,1,15
"24",3,2,17
"25",3,3,18
"26",3,4,20
"27",3,5,20
"28",3,6,21
"29",3,7,22
"30",3,8,25
"31",3,9,25
"32",3,10,26
"33",3,11,26
"34",3,12,27
"35",3,13,28
"36",4,1,11
"37",4,2,12
"38",4,3,13
"39",4,4,14
"40",4,5,15
"41",4,6,15
"42",4,7,16
"43",4,8,19
"44",5,1,17
"45",5,2,20
"46",5,3,19
"47",5,4,22
"48",5,5,21
"49",5,6,22
"50",5,7,24
"51",5,8,23
"52",5,9,26
"53",5,10,27
"54",5,11,25
"55",6,1,8
"56",6,2,12
"57",6,3,10
"58",6,4,12
"59",6,5,13
"60",6,6,15
"61",6,7,14
"62",6,8,14
"63",6,9,19
"64",6,10,19
"65",6,11,21
"66",6,12,21
"67",6,13,23
"68",6,14,21
"69",6,15,22
"70",6,16,23
"71",7,1,16
"72",7,2,18
"73",7,3,18
"74",7,4,19
"75",7,5,22
"76",7,6,21
"77",7,7,22
"78",7,8,23
"79",7,9,25
"80",7,10,26
"81",7,11,27
"82",7,12,29
"83",7,13,28
"84",7,14,31
"85",8,1,18
"86",8,2,16
"87",8,3,19
"88",8,4,20
"89",8,5,20
"90",8,6,20
"91",8,7,24
"92",8,8,24
"93",8,9,25
"94",8,10,28
"95",8,11,27
"96",8,12,28
"97",9,1,22
"98",9,2,22
"99",9,3,23
"100",9,4,24
"101",9,5,26
"102",9,6,25
"103",9,7,26
"104",9,8,29
"105",9,9,30
"106",9,10,31
"107",9,11,30
"108",9,12,31
"109",9,13,32
"110",10,1,15
"111",10,2,17
"112",10,3,18
"113",10,4,20
"114",10,5,21
"115",10,6,21
"116",10,7,22
"117",10,8,23
"118",10,9,23
"119",10,10,25
"120",10,11,26
"121",11,1,20
"122",11,2,21
"123",11,3,22
"124",11,4,23
"125",11,5,23
"126",11,6,25
"127",11,7,24
"128",11,8,28
"129",11,9,29
"130",11,10,30
"131",11,11,31
"132",12,1,8
"133",12,2,8
"134",12,3,9
"135",12,4,9
"136",12,5,11
"137",12,6,11
"138",12,7,13
"139",12,8,15
"140",12,9,14
"141",12,10,18
"142",12,11,17
"143",12,12,17
"144",12,13,19
"145",12,14,19
"146",12,15,23
"147",13,1,15
"148",13,2,15
"149",13,3,14
"150",13,4,17
"151",13,5,17
"152",13,6,19
"153",13,7,21
"154",13,8,22
"155",13,9,22
"156",13,10,22
"157",13,11,24
"158",13,12,25
"159",14,1,19
"160",14,2,22
"161",14,3,21
"162",14,4,24
"163",14,5,24
"164",14,6,24
"165",14,7,26
"166",14,8,25
"167",14,9,28
"168",14,10,29
"169",15,1,11
"170",15,2,13
"171",15,3,12
"172",15,4,13
"173",15,5,16
"174",15,6,18
"175",15,7,18
"176",15,8,19
"177",15,9,21
"178",15,10,19
"179",15,11,22
"180",15,12,23
"181",16,1,23
"182",16,2,20
"183",16,3,21
"184",16,4,24
"185",16,5,26
"186",16,6,26
"187",16,7,29
"188",16,8,27
"189",16,9,29
"190",16,10,29
"191",17,1,19
"192",17,2,20
"193",17,3,19
"194",17,4,20
"195",17,5,22
"196",17,6,21
"197",17,7,24
"198",17,8,25
"199",17,9,27
"200",17,10,28
"201",17,11,28
"202",17,12,30
"203",17,13,31
"204",17,14,33
"205",17,15,32
"206",18,1,8
"207",18,2,11
"208",18,3,10
"209",18,4,13
"210",18,5,14
"211",18,6,14
"212",18,7,15
"213",18,8,16
"214",18,9,16
"215",18,10,20
"216",18,11,20
"217",18,12,19
"218",18,13,20
"219",19,1,8
"220",19,2,12
"221",19,3,12
"222",19,4,10
"223",19,5,11
"224",19,6,14
"225",19,7,14
"226",19,8,17
"227",19,9,16
"228",19,10,20
"229",19,11,19
"230",19,12,20
"231",19,13,21
"232",19,14,22
"233",19,15,24
"234",20,1,20
"235",20,2,20
"236",20,3,22
"237",20,4,23
"238",20,5,21
"239",20,6,25
"240",20,7,25
"241",20,8,25
"242",20,9,27
"243",20,10,27
"244",20,11,31
"245",20,12,30
"246",21,1,18
"247",21,2,20
"248",21,3,20
"249",21,4,21
"250",21,5,25
"251",21,6,24
"252",21,7,25
"253",21,8,26
"254",21,9,28
"255",21,10,27
"256",21,11,31
"257",21,12,30
"258",22,1,8
"259",22,2,10
"260",22,3,12
"261",22,4,10
"262",22,5,12
"263",22,6,12
"264",22,7,15
"265",22,8,17
"266",22,9,17
"267",23,1,15
"268",23,2,17
"269",23,3,19
"270",23,4,21
"271",23,5,18
"272",23,6,21
"273",23,7,21
"274",23,8,24
"275",23,9,24
"276",23,10,25
"277",23,11,27
"278",23,12,26
"279",23,13,30
"280",23,14,30
